Code Ouvrage,Référence ouvrage,Métier,Prestation,Type de Toit,Nom de l'ouvrage,Chapitre de l'ouvrage (Dépose/Préparation du Support/ Pose ….),Texte de la ligne/ Texte commercial (rtf),Texte de la ligne/ Texte commercial (converti),Commentaire Technique/ Texte Chargé d'affaires (rtf),Commentaire Technique/ Texte Chargé d'affaires (converti),Unité de l'ouvrage,Code Article,Référence article,Désignation matériaux,Unité Article,Qté,Prix d'achat
101,AD23459,Maintenance,Réparation,Tuiles Béton,Réfection d'abouts d'arêtier par Abouts Ventilés,,,,Dépose pour mise en démolition des abouts d'arêtier existants ,Dépose pour mise en démolition des abouts d'arêtier existants,,,,,,0,0
101,AD23459,Maintenance,Réparation,Tuiles Béton,Réfection d'abouts d'arêtier par Abouts Ventilés,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.5,55
101,AD23459,Maintenance,Réparation,Tuiles Béton,Réfection d'abouts d'arêtier par Abouts Ventilés,Pose,"Fourniture et pose d'un about arêtier en tuile terre cuite posé mécaniquement sur support bois comprenant un rang de tuile mécanique, chevron, closoir de ventilation fixé par vis bois et joint d'étanchéité en jonction de chaque tuile faîtière. ","Fourniture et pose d'un about arêtier en tuile terre cuite posé mécaniquement sur support bois comprenant un rang de tuile mécanique, chevron, closoir de ventilation fixé par vis bois et joint d'étanchéité en jonction de chaque tuile faîtière.",,,ml,,,,,0,0
101,AD23459,Maintenance,Réparation,Tuiles Béton,Réfection d'abouts d'arêtier par Abouts Ventilés,,,,"Fourniture et pose d'un about arêtier en tuile terre cuite posé mécaniquement sur support bois comprenant un rang de tuile mécanique, chevron 40x60 cloué par pointe de 140mm, closoir de ventilation fixé par vis bois et joint d'étanchéité la jonction de chaque tuile faîtière. ","Fourniture et pose d'un about arêtier en tuile terre cuite posé mécaniquement sur support bois comprenant un rang de tuile mécanique, chevron 40x60 cloué par pointe de 140mm, closoir de ventilation fixé par vis bois et joint d'étanchéité la jonction de chaque tuile faîtière.",,,,,,0,0
101,AD23459,Maintenance,Réparation,Tuiles Béton,Réfection d'abouts d'arêtier par Abouts Ventilés,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,1.5,165
101,AD23459,Maintenance,Réparation,Tuiles Béton,Réfection d'abouts d'arêtier par Abouts Ventilés,,,,,,,20387,R126488,"VIS INOX 4,5X65 + VULCA 20MM NATUREL",u,10,1.8
101,AD23459,Maintenance,Réparation,Tuiles Béton,Réfection d'abouts d'arêtier par Abouts Ventilés,,,,,,,6086,R109170,CLOSOIR VENT'ALU 2 COULEUR TERRE CUITE 300MM - 10ML,ml,1.1,9.02
101,AD23459,Maintenance,Réparation,Tuiles Béton,Réfection d'abouts d'arêtier par Abouts Ventilés,,,,,,,25475,R34345,IRB ABOUT D'ARETIER DEMI-ROND A EMBOITEMENT GRAND MODELE ROUGE STE FOY,u,1,20
101,AD23459,Maintenance,Réparation,Tuiles Béton,Réfection d'abouts d'arêtier par Abouts Ventilés,,,,,,,3050,R104109,"VIS INOX 4,5X120 + VULCA 20MM NATUREL",u,0.1,0.024
101,AD23459,Maintenance,Réparation,Tuiles Béton,Réfection d'abouts d'arêtier par Abouts Ventilés,,,,,,,21537,R127674,MASTIC GLR PU - ETANCO - 310ML,u,0.15,0.5955
102,AD23566,Maintenance,Réparation,Ardoises,Réfection de l'arêtier par un arêtier 3 bandes,Dépose,Dépose pour mise en démolition de l'arêtier existant y compris ardoises adjacentes. ,Dépose pour mise en démolition de l'arêtier existant y compris ardoises adjacentes.,,,ml,,,,,0,0
102,AD23566,Maintenance,Réparation,Ardoises,Réfection de l'arêtier par un arêtier 3 bandes,,,,Dépose pour mise en démolition de l'arêtier existant y compris ardoises adjacentes. ,Dépose pour mise en démolition de l'arêtier existant y compris ardoises adjacentes.,,,,,,0,0
102,AD23566,Maintenance,Réparation,Ardoises,Réfection de l'arêtier par un arêtier 3 bandes,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.5,55
102,AD23566,Maintenance,Réparation,Ardoises,Réfection de l'arêtier par un arêtier 3 bandes,Pose,"Fourniture, Façonnage et pose d'un arêtier trois bandes en zinc posé sur tasseau trapézoïdal y compris couvre-joint en zinc et pattes clips de fixation. ","Fourniture, Façonnage et pose d'un arêtier trois bandes en zinc posé sur tasseau trapézoïdal y compris couvre-joint en zinc et pattes clips de fixation.",,,ml,,,,,0,0
102,AD23566,Maintenance,Réparation,Ardoises,Réfection de l'arêtier par un arêtier 3 bandes,,,,"Fourniture, Façonnage et pose d'un arêtier trois bandes en zinc posé sur tasseau trapézoïdal 60/60/35 en sapin traité, couvre-joint en zinc 65/100 dev. 0,16m fixation par pattes à ressort, bande d'astragale en zinc 65/100 avec pince et raccord ardoise sur trois rangs avec tranchis biais. ","Fourniture, Façonnage et pose d'un arêtier trois bandes en zinc posé sur tasseau trapézoïdal 60/60/35 en sapin traité, couvre-joint en zinc 65/100 dev. 0,16m fixation par pattes à ressort, bande d'astragale en zinc 65/100 avec pince et raccord ardoise sur trois rangs avec tranchis biais.",,,,,,0,0
102,AD23566,Maintenance,Réparation,Ardoises,Réfection de l'arêtier par un arêtier 3 bandes,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,2.25,247.5
102,AD23566,Maintenance,Réparation,Ardoises,Réfection de l'arêtier par un arêtier 3 bandes,,,,,,,36686,R97450,*** ARDOISE ESPAGNE CLASSIQUE 350 32X22 EF,u,20,16
102,AD23566,Maintenance,Réparation,Ardoises,Réfection de l'arêtier par un arêtier 3 bandes,,,,,,,32265,R742,"POINTE INOX 17% TETE EXTRA LARGE RONDE LISSE Ø2,7X27MM - BOITE 1KG",u,0.1,0.01
102,AD23566,Maintenance,Réparation,Ardoises,Réfection de l'arêtier par un arêtier 3 bandes,,,,,,,30902,R68408,TASSEAU SAPIN-EPICEA TRAITE CLASSE 2 40X40X25,ml,1.05,1.1235
102,AD23566,Maintenance,Réparation,Ardoises,Réfection de l'arêtier par un arêtier 3 bandes,,,,,,,30753,R68028,"FEUILLE ZINC NATUREL VM 2000X1000MM EP.0,60",m²,0.5,10.535
102,AD23566,Maintenance,Réparation,Ardoises,Réfection de l'arêtier par un arêtier 3 bandes,,,,,,,30399,R67021,"COUVRE-JOINT ZINC NATUREL VM DEV.100 EP.0,65MM 2ML",ml,1.05,4.2
102,AD23566,Maintenance,Réparation,Ardoises,Réfection de l'arêtier par un arêtier 3 bandes,,,,,,,2686,R103547,PATTE INOX POUR FIXATION DE COUVRE-JOINT ZINC NATUREL - BOITE 100,u,1.05,0.987
102,AD23566,Maintenance,Réparation,Ardoises,Réfection de l'arêtier par un arêtier 3 bandes,,,,,,,2687,R103548,CLIP INOX FIXATION BANDE DE RIVE OURLET DE 14 ZINC NATUREL - BOITE 100,u,5,6.1
102,AD23566,Maintenance,Réparation,Ardoises,Réfection de l'arêtier par un arêtier 3 bandes,,,,,,,11549,R11592,PATTE COULISSANTE SYSTEME DELTA-VM ZINC - BOITE DE 250,u,2,2.8
102,AD23566,Maintenance,Réparation,Ardoises,Réfection de l'arêtier par un arêtier 3 bandes,,,,,,,32265,R742,"POINTE INOX 17% TETE EXTRA LARGE RONDE LISSE Ø2,7X27MM - BOITE 1KG",u,0.05,0.005
103,AD23670,Maintenance,Réparation,Bardeaux Bitumes,Réfection d'Aretier Simple,Dépose,Dépose pour mise en démolition de l'arêtier existant ,Dépose pour mise en démolition de l'arêtier existant,,,ml,,,,,0,0
103,AD23670,Maintenance,Réparation,Bardeaux Bitumes,Réfection d'Aretier Simple,,,,Dépose pour mise en démolition de l'arêtier existant ,Dépose pour mise en démolition de l'arêtier existant,,,,,,0,0
103,AD23670,Maintenance,Réparation,Bardeaux Bitumes,Réfection d'Aretier Simple,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.33,36.3
103,AD23670,Maintenance,Réparation,Bardeaux Bitumes,Réfection d'Aretier Simple,Pose,Fourniture et pose d'un arêtier en bardeaux bitumeux comprenant le clouage et le collage. ,Fourniture et pose d'un arêtier en bardeaux bitumeux comprenant le clouage et le collage.,,,ml,,,,,0,0
103,AD23670,Maintenance,Réparation,Bardeaux Bitumes,Réfection d'Aretier Simple,,,,Fourniture et pose d'un arêtier en bardeaux bitumeux comprenant le clouage et le collage. ,Fourniture et pose d'un arêtier en bardeaux bitumeux comprenant le clouage et le collage.,,,,,,0,0
103,AD23670,Maintenance,Réparation,Bardeaux Bitumes,Réfection d'Aretier Simple,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,1,110
103,AD23670,Maintenance,Réparation,Bardeaux Bitumes,Réfection d'Aretier Simple,,,,,,,8283,R112286,Bardeaux bitumé soprema SOPRATUILE,m²,2,21.76
103,AD23670,Maintenance,Réparation,Bardeaux Bitumes,Réfection d'Aretier Simple,,,,,,,32265,R742,"POINTE INOX 17% TETE EXTRA LARGE RONDE LISSE Ø2,7X27MM - BOITE 1KG",u,0.05,0.005
103,AD23670,Maintenance,Réparation,Bardeaux Bitumes,Réfection d'Aretier Simple,,,,,,,22982,R20010401,"Étanchéité SOPREMA colle à froid COLTACK env. 0,3Kg/m² suivant support seau de 25kg",kg,0.2,1.6
104,AD23770,Maintenance,Réparation,Zinc à tasseau,Réfection d'Aretier Simple,Dépose,Dépose pour mise en démolition des couvre-joints d'arêtier et contrôle du support. ,Dépose pour mise en démolition des couvre-joints d'arêtier et contrôle du support.,,,ml,,,,,0,0
104,AD23770,Maintenance,Réparation,Zinc à tasseau,Réfection d'Aretier Simple,,,,Dépose pour mise en démolition des couvre-joints d'arêtier et contrôle du support. ,Dépose pour mise en démolition des couvre-joints d'arêtier et contrôle du support.,,,,,,0,0
104,AD23770,Maintenance,Réparation,Zinc à tasseau,Réfection d'Aretier Simple,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.33,36.3
104,AD23770,Maintenance,Réparation,Zinc à tasseau,Réfection d'Aretier Simple,Pose,Fourniture et pose d'un couvre-joint d'arêtier y compris pattes clips de fixation. ,Fourniture et pose d'un couvre-joint d'arêtier y compris pattes clips de fixation.,,,ml,,,,,0,0
104,AD23770,Maintenance,Réparation,Zinc à tasseau,Réfection d'Aretier Simple,,,,"Fourniture et pose d'un couvre-joint d'arêtier en zinc 65/100 dev. 0,14m y compris pattes clips de fixation. ","Fourniture et pose d'un couvre-joint d'arêtier en zinc 65/100 dev. 0,14m y compris pattes clips de fixation.",,,,,,0,0
104,AD23770,Maintenance,Réparation,Zinc à tasseau,Réfection d'Aretier Simple,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,1.5,165
104,AD23770,Maintenance,Réparation,Zinc à tasseau,Réfection d'Aretier Simple,,,,,,,23082,R20353,"COUVRE-JOINT ZINC NATUREL VM DEV.140 EP.0,80MM 2ML",ml,1.1,8.789
104,AD23770,Maintenance,Réparation,Zinc à tasseau,Réfection d'Aretier Simple,,,,,,,2686,R103547,PATTE INOX POUR FIXATION DE COUVRE-JOINT ZINC NATUREL - BOITE 100,u,1.1,1.034
104,AD23770,Maintenance,Réparation,Zinc à tasseau,Réfection d'Aretier Simple,,,,,,,32265,R742,"POINTE INOX 17% TETE EXTRA LARGE RONDE LISSE Ø2,7X27MM - BOITE 1KG",u,0.05,0.005
105,AD23824,Maintenance,Réparation,Zinc en joint debout ,Réalisation de pontages/ raccords d'étanchéité en Résine sur support Métallique,Pose,Réalisation de pontages en résine bicouche avec voile de renfort sur arêtier compris préparation du support et toutes sujétions. ,Réalisation de pontages en résine bicouche avec voile de renfort sur arêtier compris préparation du support et toutes sujétions.,,,ml,,,,,0,0
105,AD23824,Maintenance,Réparation,Zinc en joint debout ,Réalisation de pontages/ raccords d'étanchéité en Résine sur support Métallique,,,,"Réalisation de pontages sur arêtier à joint debout en résine bicouche comprenant décapage du support par TRIFLEX NETTOYANT 0,20l/m2, application de METAL PRIMER et mise en place résine TRIFLEX PRODETAIL 3kg/m2 bicouche avec interposition d'un voile de renfort TRIFLEX. ","Réalisation de pontages sur arêtier à joint debout en résine bicouche comprenant décapage du support par TRIFLEX NETTOYANT 0,20l/m2, application de METAL PRIMER et mise en place résine TRIFLEX PRODETAIL 3kg/m2 bicouche avec interposition d'un voile de renfort TRIFLEX.",,,,,,0,0
105,AD23824,Maintenance,Réparation,Zinc en joint debout ,Réalisation de pontages/ raccords d'étanchéité en Résine sur support Métallique,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.75,82.5
105,AD23824,Maintenance,Réparation,Zinc en joint debout ,Réalisation de pontages/ raccords d'étanchéité en Résine sur support Métallique,,,,,,,14248,R119828,GANTS DE TRAVAIL AVEC PAUME EN NITRILE NOIR/GRIS (PROTECTION NIV 3) TAILLE 10,u,1,4.33
105,AD23824,Maintenance,Réparation,Zinc en joint debout ,Réalisation de pontages/ raccords d'étanchéité en Résine sur support Métallique,,,,,,,24284,R27472,CHIFFONS                     1KG,forfa,1,0.25
105,AD23824,Maintenance,Réparation,Zinc en joint debout ,Réalisation de pontages/ raccords d'étanchéité en Résine sur support Métallique,,,,,,,260,26200-025,Triflex Metal Primaire,l,0.4,15.136
105,AD23824,Maintenance,Réparation,Zinc en joint debout ,Réalisation de pontages/ raccords d'étanchéité en Résine sur support Métallique,,,,,,,275,28040-802,"Seau plastique gradué universel 2,5 kg",u,1,0.85
105,AD23824,Maintenance,Réparation,Zinc en joint debout ,Réalisation de pontages/ raccords d'étanchéité en Résine sur support Métallique,,,,,,,314,28090-003,Spatule bois (450 x 35 mm),u,1,0.85
105,AD23824,Maintenance,Réparation,Zinc en joint debout ,Réalisation de pontages/ raccords d'étanchéité en Résine sur support Métallique,,,,,,,288,28054-010,"Pattes de lapin, 10 cm large",u,1,0.75
105,AD23824,Maintenance,Réparation,Zinc en joint debout ,Réalisation de pontages/ raccords d'étanchéité en Résine sur support Métallique,,,,,,,295,28059-060,"Pinceau à radiateurs, 60 mm large",u,1,1.98
105,AD23824,Maintenance,Réparation,Zinc en joint debout ,Réalisation de pontages/ raccords d'étanchéité en Résine sur support Métallique,,,,,,,152,26040-001,"Triflex Scotch armé pour surface minérale, 50 mm",m,0.1,0.67
105,AD23824,Maintenance,Réparation,Zinc en joint debout ,Réalisation de pontages/ raccords d'étanchéité en Résine sur support Métallique,,,,,,,256,26090-009-1,Triflex nettoyant  9 l,l,0.2,0.842
105,AD23824,Maintenance,Réparation,Zinc en joint debout ,Réalisation de pontages/ raccords d'étanchéité en Résine sur support Métallique,,,,,,,121,22900-730-150-2,Triflex ProDetail été gris pierre,kg,2,20.04
105,AD23824,Maintenance,Réparation,Zinc en joint debout ,Réalisation de pontages/ raccords d'étanchéité en Résine sur support Métallique,,,,,,,162,26051-026,"Triflex Voile de renfort 26,25 cm large",m,2,2.44
106,AD23958,Maintenance,Réparation,Bac Acier,Réfection de l'arêtier par Arêtier Ventilé,Dépose,Dépose pour mise en démolition de l'arêtier existant ,Dépose pour mise en démolition de l'arêtier existant,,,ml,,,,,0,0
106,AD23958,Maintenance,Réparation,Bac Acier,Réfection de l'arêtier par Arêtier Ventilé,,,,Dépose pour mise en démolition de l'arêtier existant ,Dépose pour mise en démolition de l'arêtier existant,,,,,,0,0
106,AD23958,Maintenance,Réparation,Bac Acier,Réfection de l'arêtier par Arêtier Ventilé,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.4,44
106,AD23958,Maintenance,Réparation,Bac Acier,Réfection de l'arêtier par Arêtier Ventilé,Pose,"Fourniture et pose d'un arêtier ventilé en tôle prélaquée 75/100 y compris fixations mécaniques, réalisation des joints et des relevés latéraux,","Fourniture et pose d'un arêtier ventilé en tôle prélaquée 75/100 y compris fixations mécaniques, réalisation des joints et des relevés latéraux,",,,ml,,,,,0,0
106,AD23958,Maintenance,Réparation,Bac Acier,Réfection de l'arêtier par Arêtier Ventilé,,,,Fourniture et pose d'un profilé métallique laqué 75/100 sur arêtier ventilé y compris fixations mécaniques par vis de couture. ,Fourniture et pose d'un profilé métallique laqué 75/100 sur arêtier ventilé y compris fixations mécaniques par vis de couture.,,,,,,0,0
106,AD23958,Maintenance,Réparation,Bac Acier,Réfection de l'arêtier par Arêtier Ventilé,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,1.5,165
106,AD23958,Maintenance,Réparation,Bac Acier,Réfection de l'arêtier par Arêtier Ventilé,,,,,,,29477,R62461,"TOLE PLANE 63/100° - 1,00X2,00M - GALVA",m²,0.4,6
106,AD23958,Maintenance,Réparation,Bac Acier,Réfection de l'arêtier par Arêtier Ventilé,,,,,,,24903,R31770,FAITIERE DOUBLE VENTILEE 25µ RAL 7022,ml,1.1,59.774
106,AD23958,Maintenance,Réparation,Bac Acier,Réfection de l'arêtier par Arêtier Ventilé,,,,,,,2329,R102996,"ZACROVIS 6 TH12 2C POINTE FORET LAQUEE 6,3X38 RAL 7016",u,8,5.84
106,AD23958,Maintenance,Réparation,Bac Acier,Réfection de l'arêtier par Arêtier Ventilé,,,,,,,21537,R127674,MASTIC GLR PU - ETANCO - 310ML,u,0.2,0.794
107,AD23970,Maintenance,Réparation,Bac Acier,Réfection d'Aretier Simple,Dépose,Dépose pour mise en démolition de l'arêtier existant ,Dépose pour mise en démolition de l'arêtier existant,,,ml,,,,,0,0
107,AD23970,Maintenance,Réparation,Bac Acier,Réfection d'Aretier Simple,,,,Dépose pour mise en démolition de l'arêtier existant ,Dépose pour mise en démolition de l'arêtier existant,,,,,,0,0
107,AD23970,Maintenance,Réparation,Bac Acier,Réfection d'Aretier Simple,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.4,44
107,AD23970,Maintenance,Réparation,Bac Acier,Réfection d'Aretier Simple,Pose,"Fourniture et pose d'un arêtier en tôle prélaquée 75/100 y compris fixations mécaniques, réalisation des joints et des relevés latéraux,","Fourniture et pose d'un arêtier en tôle prélaquée 75/100 y compris fixations mécaniques, réalisation des joints et des relevés latéraux,",,,ml,,,,,0,0
107,AD23970,Maintenance,Réparation,Bac Acier,Réfection d'Aretier Simple,,,,Fourniture et pose d'un profilé métallique laqué 75/100 sur arêtier y compris fixations mécaniques par vis de couture. ATTENTION : Prévoir les relevés sous arêtiers et joint selon pente,Fourniture et pose d'un profilé métallique laqué 75/100 sur arêtier y compris fixations mécaniques par vis de couture. ATTENTION : Prévoir les relevés sous arêtiers et joint selon pente,,,,,,0,0
107,AD23970,Maintenance,Réparation,Bac Acier,Réfection d'Aretier Simple,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,1.5,165
107,AD23970,Maintenance,Réparation,Bac Acier,Réfection d'Aretier Simple,,,,,,,29477,R62461,"TOLE PLANE 63/100° - 1,00X2,00M - GALVA",m²,0.4,6
107,AD23970,Maintenance,Réparation,Bac Acier,Réfection d'Aretier Simple,,,,,,,2329,R102996,"ZACROVIS 6 TH12 2C POINTE FORET LAQUEE 6,3X38 RAL 7016",u,8,5.84
107,AD23970,Maintenance,Réparation,Bac Acier,Réfection d'Aretier Simple,,,,,,,21537,R127674,MASTIC GLR PU - ETANCO - 310ML,u,0.2,0.794
108,AD241071,Maintenance,Réparation,Plaques Fibres Ciment,Réfection de la noue,Dépose,"Dépose avec soin des plaques de rive pour réemploi, mise en démolition de la noue existante et contrôle du support. ","Dépose avec soin des plaques de rive pour réemploi, mise en démolition de la noue existante et contrôle du support.",,,ml,,,,,0,0
108,AD241071,Maintenance,Réparation,Plaques Fibres Ciment,Réfection de la noue,,,,Dépose avec soin plaque de rive pour réemploi et démolition de la noue existante et contrôle du support. ,Dépose avec soin plaque de rive pour réemploi et démolition de la noue existante et contrôle du support.,,,,,,0,0
108,AD241071,Maintenance,Réparation,Plaques Fibres Ciment,Réfection de la noue,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.75,82.5
108,AD241071,Maintenance,Réparation,Plaques Fibres Ciment,Réfection de la noue,Pose,"Fourniture, façonnage et pose d'une noue encaissée en zinc avec un relevé et pince. Compris raccordement des plaques de couverture saillantes et obturation des creux d'ondes par cache moineaux PVC","Fourniture, façonnage et pose d'une noue encaissée en zinc avec un relevé et pince. Compris raccordement des plaques de couverture saillantes et obturation des creux d'ondes par cache moineaux PVC",,,ml,,,,,0,0
108,AD241071,Maintenance,Réparation,Plaques Fibres Ciment,Réfection de la noue,,,,"Fourniture, façonnage et pose d'une noue encaissée en zinc 80/100 d'épaisseur avec un relevé de 50mm avec pince. Comprenant raccordement des bacs de couverture saillants de 0,08m avec passage libre dans la noue de 0,20m, obturation des creux d'ondes par cache moineaux PVC","Fourniture, façonnage et pose d'une noue encaissée en zinc 80/100 d'épaisseur avec un relevé de 50mm avec pince. Comprenant raccordement des bacs de couverture saillants de 0,08m avec passage libre dans la noue de 0,20m, obturation des creux d'ondes par cache moineaux PVC",,,,,,0,0
108,AD241071,Maintenance,Réparation,Plaques Fibres Ciment,Réfection de la noue,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,1.5,165
108,AD241071,Maintenance,Réparation,Plaques Fibres Ciment,Réfection de la noue,,,,,,,3653,R105086,CLOSOIR PEIGNE 100MM ROUGE,ml,8,18.88
108,AD241071,Maintenance,Réparation,Plaques Fibres Ciment,Réfection de la noue,,,,,,,30765,R68043,"FEUILLE ZINC NATUREL VM 2000X1000MM EP.0,80",m²,0.65,17.81
108,AD241071,Maintenance,Réparation,Plaques Fibres Ciment,Réfection de la noue,,,,,,,32248,R74026,SOUDURE ETAIN TARGETTE 33,forfa,0.05,0.1625
108,AD241071,Maintenance,Réparation,Plaques Fibres Ciment,Réfection de la noue,,,,,,,20554,R126673,"CLOUS CRANTES INOX A2 2,8X25MM IM45GN - PACK DE 1000",u,0.05,0.005
108,AD241071,Maintenance,Réparation,Plaques Fibres Ciment,Réfection de la noue,,,,,,,30753,R68028,"FEUILLE ZINC NATUREL VM 2000X1000MM EP.0,60",m²,0.01,0.2107
109,AD241171,Maintenance,Réparation,Etanchéité Bitumineuse,Réfection de la noue,Dépose,Dépose en démolition d'une noue sur étanchéité existante. Contrôle du Support. ,Dépose en démolition d'une noue sur étanchéité existante. Contrôle du Support.,,,ml,,,,,0,0
109,AD241171,Maintenance,Réparation,Etanchéité Bitumineuse,Réfection de la noue,,,,Dépose en démolition d'une noue sur étanchéité existante,Dépose en démolition d'une noue sur étanchéité existante,,,,,,0,0
109,AD241171,Maintenance,Réparation,Etanchéité Bitumineuse,Réfection de la noue,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.5,55
109,AD241171,Maintenance,Réparation,Etanchéité Bitumineuse,Réfection de la noue,Pose,"Fourniture et pose d'une noue sur étanchéité comprenant le remplacement de l'isolant, d'un écran d'indépendance en pose libre, la fourniture et pose d'un vernis d'impression, d'un pare vapeur soudé en plein d'une première couche d'étanchéité adhésive semi-indépendante et d'une deuxième couche d'étanchéité soudée en plein","Fourniture et pose d'une noue sur étanchéité comprenant le remplacement de l'isolant, d'un écran d'indépendance en pose libre, la fourniture et pose d'un vernis d'impression, d'un pare vapeur soudé en plein d'une première couche d'étanchéité adhésive semi-indépendante et d'une deuxième couche d'étanchéité soudée en plein",,,ml,,,,,0,0
109,AD241171,Maintenance,Réparation,Etanchéité Bitumineuse,Réfection de la noue,,,,"Reprise d'une noue sur support de maçonnerie avec isolant comprenant enduit d'imprégnation à froid AQUADERE 0,30l/m², écran pare-vapeur type ELASTOVAP, isolation laine de roche 100mm surfacée, collée par plots, étanchéité bicouche avec ELASTOPHENE FLAM 180-25 et couche de finition SOPRALENE FLAM 25 ardoisé L'ensemble est soudé en plein avec un recouvrement entre lés de 0,10m","Reprise d'une noue sur support de maçonnerie avec isolant comprenant enduit d'imprégnation à froid AQUADERE 0,30l/m², écran pare-vapeur type ELASTOVAP, isolation laine de roche 100mm surfacée, collée par plots, étanchéité bicouche avec ELASTOPHENE FLAM 180-25 et couche de finition SOPRALENE FLAM 25 ardoisé L'ensemble est soudé en plein avec un recouvrement entre lés de 0,10m",,,,,,0,0
109,AD241171,Maintenance,Réparation,Etanchéité Bitumineuse,Réfection de la noue,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,1.25,137.5
109,AD241171,Maintenance,Réparation,Etanchéité Bitumineuse,Réfection de la noue,,,,,,,22979,R20010101,"Étanchéité SOPREMA enduit d'imprégnation AQUADERE env. 0,30l/m² suivant support bidon de 5 litres",l,0.3,0.24
109,AD241171,Maintenance,Réparation,Etanchéité Bitumineuse,Réfection de la noue,,,,,,,22983,R20010501,"Étanchéité SOPREMA pare-vapeur ELASTOVAP  rouleau de 7,00m x 1,00m",m²,1.1,5.423
109,AD241171,Maintenance,Réparation,Etanchéité Bitumineuse,Réfection de la noue,,,,,,,2092,R102555,"ROCKACIER B SOUDABLE ENERGY (R=2,00) 1200X1000 EP 80MM",m²,1,12.62
109,AD241171,Maintenance,Réparation,Etanchéité Bitumineuse,Réfection de la noue,,,,,,,22987,R20010901,"Étanchéité SOPREMA étanchéité ELASTOPHENE FLAM 180-25  rouleau de 7,00m x 1,00m",m²,1.1,13.695
109,AD241171,Maintenance,Réparation,Etanchéité Bitumineuse,Réfection de la noue,,,,,,,22989,R20011101,"Étanchéité SOPREMA étanchéité SOPRALENE FLAM 180 alu rouleau de 7,00m x 1,00m",m²,1.1,11
110,AD2412108,Maintenance,Réparation,Etanchéité Par membrane PVC,Réalisation de pontages en membrane PVC,pose,"Après nettoyage et dégraissage du support, fourniture, découpe et pose de pontages sur noue en membrane PVC soudé à l'air chaud compris tests d'arrachement. ","Après nettoyage et dégraissage du support, fourniture, découpe et pose de pontages sur noue en membrane PVC soudé à l'air chaud compris tests d'arrachement.",,,ml,,,,,0,0
110,AD2412108,Maintenance,Réparation,Etanchéité Par membrane PVC,Réalisation de pontages en membrane PVC,,,,"Après nettoyage et dégraissage du support, fourniture, découpe et pose de pontages sur noue en membrane PVC soudé à l'air chaud compris tests d'arrachement. ","Après nettoyage et dégraissage du support, fourniture, découpe et pose de pontages sur noue en membrane PVC soudé à l'air chaud compris tests d'arrachement.",,,,,,0,0
110,AD2412108,Maintenance,Réparation,Etanchéité Par membrane PVC,Réalisation de pontages en membrane PVC,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,1.5,165
110,AD2412108,Maintenance,Réparation,Etanchéité Par membrane PVC,Réalisation de pontages en membrane PVC,,,,,,,23222,R21100101,Etanchéité monocouche PVC nettoyant soudure Flagon PVC cleaner bidon de 3 litres,l,0.2,3.386
110,AD2412108,Maintenance,Réparation,Etanchéité Par membrane PVC,Réalisation de pontages en membrane PVC,,,,,,,23174,R21010201,"Etanchéité monocouche PVC membrane Flagon SV 15/10 indépendante rouleau de 20,00mx2,10m",m²,1,10.13
111,AD24243,Maintenance,Réparation,Tuiles Plates,Réfection d'une noue ouverte,Dépose,Dépose avec soin pour réemploi si possible de la tuile en tranchis. Dépose pour mise en démolition de la noue en zinc et contrôle du support bois. ,Dépose avec soin pour réemploi si possible de la tuile en tranchis. Dépose pour mise en démolition de la noue en zinc et contrôle du support bois.,,,,,,,,0,0
111,AD24243,Maintenance,Réparation,Tuiles Plates,Réfection d'une noue ouverte,,,,Dépose avec soin pour réemploi si possible de la tuile en tranchis. Dépose pour mise en démolition de la noue en zinc et contrôle du support bois. ,Dépose avec soin pour réemploi si possible de la tuile en tranchis. Dépose pour mise en démolition de la noue en zinc et contrôle du support bois.,,,,,,0,0
111,AD24243,Maintenance,Réparation,Tuiles Plates,Réfection d'une noue ouverte,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.75,82.5
